X	Y	BRIDGE_ID	BR_NAME	bridge	BRGY	MUN
122.935126991212	9.7726048795192	B00057NR	Samac Bridge		Samac	Mabinay
122.948816280351	9.6881692949984	B00054NR	Batang Bridge	cantilever	Lumbangan	Mabinay
122.821259066691	9.40743180379767	B00048NR	Calawag Bridge		Nangka	Bayawan
123.152040307979	9.73036547607831	B00092NR	Malaga Bridge		Malaga	Bindoy
123.149257111517	9.10561309333556	B00014NR	Juan Colon Bridge		Mayabon	Zamboanguita
123.133630562344	9.10466801882278	B00411NR	Salngan Bridge		Napacao	Siaton
123.121943579801	9.58726260790162	B00088NR	Bais Bridge		Barangay 1	Bais
123.22472229836	10.3856721744467	B00409NR	Malaiba Bridge № 1		Panubigan	Canlaon
123.24111891433	9.41578751632853	B00079NR	Tapon Norte Bridge		Tapon Norte	San Jose
123.058058289573	9.61911318208213	B00051NR	Canlumbog Bridge	cantilever	Manlipac	Bais
122.819727777976	9.42457586121422	B00049NR	Guisocon Bridge		Nangka	Bayawan
123.149349527276	9.88089322084389	B00105NR	Iniban Bridge № 1		Iniban	Ayungon
122.874970752667	9.25591208296955	B00031NR	Nagbalaye Bridge		Nagbalaye	Santa Catalina
122.908211210638	9.15578747400634	B00413NR	Tambo Bridge		Lico-lico	Santa Catalina
123.257850560839	9.38580578773229	B00076NR	Calo Bridge		Santo Niño	San Jose
123.324161043314	10.3540804060362	B00139NR	Pinocawan Bridge		Bagawines	Vallehermoso
122.739411708534	9.37740642311719	B00040NR	Tab-ang Bridge		Pagatban	Bayawan
123.252284857785	9.27557929360935	B00451NR	Balayag Manok Bridge № 1		Bong-ao	Valencia
123.132282123446	9.83591806529223	B00102NR	Anibong Bridge		Anibong	Ayungon
123.223219164318	9.13806516688418	B00008NR	Mag-abo Bridge		Maluay	Zamboanguita
123.249847997605	9.17397019970972	B00004NR	Jagobaac Bridge		Masaplod	Dauin
123.272953143292	10.1233392000522	B00515NR	Bateria Bridge		Poblacion	Guihulngan
122.646997891345	9.40812368343928	B00043NR	Basay Bridge		Poblacion	Basay
123.281158550959	9.21458251469286	B00002NR	Mainit Bridge		Bulak	Dauin
123.191772122233	10.3713058826709	B00067NR	Inyawan Bridge		Masulog	Canlaon
123.235029902277	9.42429671692226	B00080NR	Jilocon Bridge	cantilever	Jilocon	San Jose
123.265684329565	10.1006501394352	B00459NR	Tinayunan Bridge		Tinayunan	Guihulngan
123.156157583435	9.72030475427451	B00091NR	Alawihaw Bridge		Balaas	Manjuyod
123.286791761454	9.22817912145256	B00001NR	San Miguel Bridge		San Miguel	Bacong
122.963561516032	9.68021395789068	B00053NR	Langao Bridge	cantilever	Paniabonan	Mabinay
122.822882856344	9.40117476761651	B00047NR	Canalum Bridge		Nangka	Bayawan
123.15403931637	9.91210215784819	B00109NR	Hibolangan Bridge № 2		Matu-og	Tayasan
122.878888060982	9.28963329136308	B00032NR	Jagonipa Bridge		Cawitan	Santa Catalina
123.027374147727	9.05937618648557	B00018NR	Siaton Bridge		Poblacion	Siaton
122.624421712227	9.42760296269908	B00045NR	Tiabanan Bridge		Bal-os	Basay
122.875573490632	9.30242028230369	B00033NR	Cawitan Bridge		Cawitan	Santa Catalina
122.963597219096	9.06995478359654	B00412NR	Nasipit Bridge		Maloh	Siaton
122.9307847399	9.79886773971843	B00058NR	Diay Bridge		Pandanon;Dahile	Mabinay
123.08039397072	9.63318637811964	B00050NR	Cang-aboc Bridge		Tamisu	Bais
123.139638482133	9.85010715614455	B00511NR	Tampocon Bridge		Tampocon	Ayungon
123.202849516881	9.1117582872547	B00010NR	Guinsuan Bridge		Basak	Zamboanguita
123.214166564154	9.12795988406767	B00009NR	Maluay Bridge		Maluay	Zamboanguita
123.284417936834	9.35477033307001	B00073NR	Sibulan Bridge		Poblacion	Sibulan
123.247776268727	10.3764691505488	B00062NR	Binalbagan Bridge		Binalbagan	Canlaon
122.911961598151	9.36976345267513	B00447NR	Inobongan Bridge		Obat	Santa Catalina
123.238922679212	9.15603384114111	B00006NR	Lagnasan Bridge		Maayong-tubig	Dauin
123.250272427934	10.0682448548592	B00514NR	P. Zamora Bridge		Padre Zamora	Guihulngan
122.59006298738	9.44511179128025	B00046NR	Sangke Bridge		Bongalonan	Basay
123.2833516457	10.177882917704	B00133NR	Calamba Bridge		Calamba	Guihulngan
123.251794476753	9.17647225759324	B00003NR	Masaplod Bridge		Masaplod	Dauin
123.225483024159	10.0043876969278	B00531NR	San Jose Bridge		San Jose	La Libertad
122.904938834758	9.16725216214937	B00026NR	Omanod Bridge		San Pedro	Santa Catalina
123.099037225558	9.62240735379255	B00089NR	Panambalon Bridge		Katagahan-tamisu	Bais
123.101405227517	9.53789793954914	B00087NR	Mojon Bridge		Santa Cruz	Tanjay
123.178831761731	10.3651710982029	B00068NR	Masulog Bridge		Masulog	Canlaon
123.281774016029	9.25781202711429	B00529NR	Lawigan Bridge		Isugan	Bacong
123.237454639076	9.15355048502322	B00007NR	Maayong Tubig Bridge		Maayong-tubig	Dauin
122.883282351829	9.22201433467837	B00029NR	Manalongon Bridge		Manalongon	Santa Catalina
123.077051684491	9.45384168932024	B00454NR	Balayong Bridge		Balayong	Pamplona
123.197767978367	10.3802976217398	B00066NR	Tokon-Tokon Bridge		Linothangan	Canlaon
122.646340248848	9.40939717676782	B00044NR	Alis Bridge		Poblacion	Basay
123.294113789322	10.1962934673163	B00134NR	Kinayan Bridge		Bulado	Guihulngan
123.149509451792	9.90157568165971	B00512NR	Oyangan Bridge		Tamao	Tayasan
122.926033607216	9.1200812078875	B00023NR	Maladpad Bridge		Maladpad	Siaton
123.044907702816	9.06388547984409	B00017NR	Canaway Bridge		Sumaliring	Siaton
123.226593211003	9.46237108953888	B00082NR	Amlan Bridge		Poblacion;Tandayag	Amlan
123.244790970247	10.0528440929732	B00460NR	Habag Bridge		Pisong	Lalibertad
123.136619821777	9.82201164273129	B00464NR	Calag-calag Bridge № 2		Calag-calag	Ayungon
123.246647000574	9.40588721180823	B00077NR	Lala-an Bridge		Santo Niño	San Jose
