X	Y	REGION	PROVINCE	DEO	ROAD_NAME	BRIDGE_ID	BR_NAME	BR_LENGTH	BR_TYPE1	YR_CONST	ACTUAL_YR	BR_WIDTH	LOAD_LIMIT	HT_OVER	HT_UNDER	L_SDWALK	R_SDWALK	NUM_LANES	CROSSING	BRGY	MUN	ROAD_SEC_CLASS	ROUTE_NO	MaxBRHT	MaxPierHT
125.553540408454	9.3603286753882	Region ⅫⅠ	Agusan del Norte	Agusan del Norte District Engineering Office	Daang Maharlika (Surigao-Agusan Sect)	B00830MN	Baleguian Br.	28	reinforced_concrete	Year Known	1975	9.7	15			0.8	0.8	2	River	Baleguian	Jabonga	Primary	1	3.93	3.65
125.561497849906	8.79743514159713	Region ⅫⅠ	Agusan del Norte	Butuan City District Engineering Office	Butuan City-Malaybalay Rd	B00888MN	Mabuhay Br.	36	steel	Year Known	1990	9.46	15			0.74	0.74	2	River	M.J Santos	Butuan City	Tertiary		10.7	
125.404134575733	8.90488856402911	Region ⅫⅠ	Agusan del Norte	Agusan del Norte District Engineering Office	Buenavista-Bunaguit Rd	B00805MN	Guinabsan Br.	82	steel	Year Known	1996	8.92	20			0.45	0.45	2	River	Guinabsan	Buenavista	Tertiary		5.63	4.82
125.577034776495	8.9372584379025	Region ⅫⅠ	Agusan del Norte	Butuan City District Engineering Office	Mayor Democrito D. Plaza II Ave	B01913MN	Lemon Br.	36	reinforced_concrete	Year Known	2016	19.07				0.72	0.72	4	River	Lemon	Butuan City	Secondary	951	3.7	
125.3566625609	8.9750169761961	Region ⅫⅠ	Agusan del Norte	Agusan del Norte District Engineering Office	Butuan City-Cagayan de Oro City-Iligan City Road (Agusan-Misamis Or Rd)	B00872MN	Kinabjangan Br.	40	steel	Year Known	1990	9.46	20			0.79	0.79	2	River	Kinabjangan	Nasipit	Primary	9	10.6	
125.562394619768	9.18518326583525	Region ⅫⅠ	Agusan del Norte	Agusan del Norte District Engineering Office	Daang Maharlika (Surigao-Agusan Sect)	B00838MN	Sta. Ana Br.	99	steel	Year Known	1975	8.85	20			0.44	0.44	2	River	Santa Ana	Tubay	Primary	1	4.72	2.62
125.553540408454	9.3603286753882	Region ⅫⅠ	Agusan del Norte	Agusan del Norte District Engineering Office	Daang Maharlika (Surigao-Agusan Sect)	B02015MN	Baleguian Parallel Br.	28	reinforced_concrete	Year Known	2017	9.4				0.75	0.75	2	River	Baleguian	Jabonga	Primary	1	6.85	
125.584311427182	9.05970537591508	Region ⅫⅠ	Agusan del Norte	Agusan del Norte District Engineering Office	Daang Maharlika (Surigao-Agusan Sect)	B01977MN	Mina-ano Br.	20	reinforced_concrete	Year Known	2018	17				0.85	0.85	4	Ditch	Poblacion	Remedios T. Romualdez	Primary	1	4.04	
125.602392657896	9.02233616755898	Region ⅫⅠ	Agusan del Norte	Butuan City District Engineering Office	Daang Maharlika (Surigao-Agusan Sect)	B01861MN	Minalum Br.	23	steel	Year Known	1974	24.93	15			0.77	0.77	6	River	Los Angeles	Butuan City	Primary	1	3.3	
125.401565161367	8.92580095240277	Region ⅫⅠ	Agusan del Norte	Agusan del Norte District Engineering Office	Buenavista-Bunaguit Rd	B00804MN	Rizal Br.	82	steel	Year Known	1995	8.92	20			0.45	0.45	2	River	Rizal	Buenavista	Tertiary		8.37	6.6
125.555242198211	9.31938577683788	Region ⅫⅠ	Agusan del Norte	Agusan del Norte District Engineering Office	Daang Maharlika (Surigao-Agusan Sect)	B00833MN	Bangonay Br.	168	steel	Year Known	1973	8.97	15			0.45	0.45	2	River	Bangonay	Jabonga	Primary	1	7.57	5.08
125.524673738136	8.96524851641557	Region ⅫⅠ	Agusan del Norte	Butuan City District Engineering Office	Butuan City-Masao Port Rd Jct-Doongan Bridge	B01214MN	Doongan Br.	25	reinforced_concrete	Year Known	1985	8.25	15			0.5	0.5	2	River	Doongan	Butuan City	Tertiary		3.2	2.2
125.581438767861	8.72876876246651	Region ⅫⅠ	Agusan del Norte	Agusan del Norte District Engineering Office	Agusan-Malaybalay Rd	B00800MN	Magus Br.	41	steel	Year Known	1995	8.91	20			0.53	0.53	2	River	Maningalao	Las Nieves	Tertiary		7.72	6.18
125.400750508943	8.96995892416993	Region ⅫⅠ	Agusan del Norte	Agusan del Norte District Engineering Office	Butuan City-Cagayan de Oro City-Iligan City Road (Agusan-Misamis Or Rd)	B00871MN	Guihao-an Br.	91	steel	Year Known	1990	9.3	20			0.75	0.75	2	River	Poblacion 2	Buenavista	Primary	9	9.35	5.1
125.562613573226	8.80762480176244	Region ⅫⅠ	Agusan del Norte	Butuan City District Engineering Office	Butuan City-Malaybalay Rd	B00887MN	Bugabus Br.	56	reinforced_concrete	Year Known	1970	9	15			0.5	0.5	2	River	Mj Santos	Butuan City	Tertiary		13.6	8.05
125.558976865497	9.13608171674092	Region ⅫⅠ	Agusan del Norte	Agusan del Norte District Engineering Office	Daang Maharlika (Surigao-Agusan Sect)	B00842MN	Comagascas Br.	30	reinforced_concrete	Year Known	1960	8.3	15			0.46	0.46	2		Comagascas	Cabadbaran	Primary	1	2.85	2
