X	Y	BRIDGE_ID	BR_NAME	alt_name	BRGY	MUN
120.596667491716	14.5517646915593	B00077LZ	Kitang Bridge		Luz	Limay
120.299676299721	14.6545188940254	B01573LZ	Tuag Bridge		Nagbalayong	Morong
120.491695121475	14.7871746564112	B01699LZ	Orani Bridge № 2		Centro I	Orani
120.39621142587	14.5958330827175	B03390LZ	Valdez Bridge		Ibis	Bagac
120.589874338632	14.5656589089326	B01603LZ	Mamala Bridge		Reformista	Limay
120.512830652026	14.8240474747452	B01551LZ	Mabuco Bridge		Mabuco	Hermosa
120.515925333666	14.7028606119064	B00058LZ	Capitangan Bridge		Capitangan	Abucay
120.53578719664	14.6521130110468	B01599LZ	Talisay Bridge		Cupang	Balanga
120.593923170825	14.5372845792269	B01605LZ	Alangan Bridge		Alangan	Limay
120.530331097316	14.6623728135986	B01598LZ	Cataning Bridge № 2		Cataning	Balanga
120.434182859296	14.6288260724774	B00066LZ	Binukawan Bridge		Binukawan	Bagac
120.604629273148	14.5104921231443	B01607LZ	Lamao Bridge		Lamao	Limay
120.399857844404	14.5622839244907	B03392LZ	Mamantil Bridge		Saysayin	Bagac
120.59556859594	14.5629015477739	B01588LZ	Limay Bridge		Poblacion	Limay
120.376785775292	14.6269771741244	B01628LZ	Cabayo Bridge		Banawang	Bagac
120.481364185911	14.8584758852507	B04620LZ	Balsik Bridge № 2		Balsik	Hermosa
120.57322734648	14.6325833335341	B01584LZ	Santo Domingo Bridge № 2		SantoDomingo	Orion
