X	Y	REGION	PROVINCE	DEO	ROAD_NAME	BRIDGE_ID	BR_NAME	BR_LENGTH	BR_TYPE1	YR_CONST	ACTUAL_YR	BR_WIDTH	LOAD_LIMIT	HT_OVER	HT_UNDER	L_SDWALK	R_SDWALK	NUM_LANES	CROSSING	BRGY	MUN	ROAD_SEC_CLASS	ROUTE_NO	MaxBRHT	MaxPierHT
121.139632610048	13.9913473180218	Region Ⅳ-A	Batangas	Batangas 4th District Engineering Office	Lipa-Balete Rd	B03070LZ	Bulacnin Br. 2	6	reinforced_concrete	Year Known	1975	8.73	15			0.5	0.5	2	River	Bulacnin	Lipa	Tertiary		4.2	
120.63210838452	13.9331413439587	Region Ⅳ-A	Batangas	Batangas 1st District Engineering Office	Nasugbu-Lian-Calatagan Rd	B03180LZ	Balibago Br.	13	reinforced_concrete	Year Known	1975	9.22	15			1.11	1.11	2	River	Balibago	Lian	Secondary	408	4.4	
120.921598180512	13.922269308034	Region Ⅳ-A	Batangas	Batangas 3rd District Engineering Office	Talisay-Laurel-Agoncillo Rd	B04638LZ	Kulafu Br.	18	reinforced_concrete	Year Known	2016	16.71				0.78	0.77	4	River	Coral Na Munti	Agoncillo	Tertiary		7.43	
121.217120665467	13.8802060744247	Region Ⅳ-A	Batangas	Batangas 4th District Engineering Office	Batangas-Quezon Rd	B04531LZ	Tubig ng Bayan Br.	13	reinforced_concrete	Year Known	1975	14.79				0.8	0.8	4	River	Bawi	Padre Garcia	Secondary	435	7.6	
121.134967357845	14.1444956152326	Region Ⅳ-A	Batangas	Batangas 3rd District Engineering Office	Daang Maharlika (LZ)	B03183LZ	Viga Br. 1	50	reinforced_concrete	Year Known	1992	9.2	20			0.7	0.15	2	River	Santa Anastacia	Santo Tomas	Primary	1	16.37	10.9
120.698068900125	14.0480266765311	Region Ⅳ-A	Batangas	Batangas 1st District Engineering Office	Tagaytay-Nasugbu Rd	B04472LZ	Cacauan Br.	31	reinforced_concrete	1945-1970	1956	15.83	15			1.1	1.1	4	River	Sabang	Tuy	Secondary	407	11.26	7.9
120.778473435677	13.9396802809286	Region Ⅳ-A	Batangas	Batangas 1st District Engineering Office	Palico-Balayan-Batangas Rd	B00003LZ	Dacanlao Br.	45	steel	1945-1970	1950	8.22	15	4.77		0.43	0.44	2	River	Dacanlao	Calaca	Secondary	436	15.7	
120.952572566732	13.7588298722017	Region Ⅳ-A	Batangas	Batangas 2nd District Engineering Office	Bauan-Mabini Rd	B04826LZ	Mainaga Br. 1	18	reinforced_concrete	Year Known	2016	9.22				1.02	1	2	River	Mainaga	Mabini	Tertiary		4.77	
121.143178712427	13.6378838049966	Region Ⅳ-A	Batangas	Batangas 2nd District Engineering Office	Batangas-Tabangao-Lobo Rd	B03045LZ	Talahib Pandayan Br.	56	steel	Year Known	1989	9.5	20			1	1	2	River	Talahib Pandayan	Batangas City	Secondary	439	5.4	3.7
120.609713416445	14.1341318709749	Region Ⅳ-A	Batangas	Batangas 1st District Engineering Office	Ternate-Nasugbu Rd	B04374LZ	Tali Br.	17	reinforced_concrete	Year Known	2005	9.42	15			1.06	1.06	2	River	Tali	Nasugbu	Secondary	407	5.7	
120.932500042373	14.0573673058083	Region Ⅳ-A	Batangas	Batangas 3rd District Engineering Office	Talisay-Laurel-Agoncillo Rd	B00007LZ	Tabangan Br.	29	reinforced_concrete	Year Known	1987	9.2	15			0.43	0.43	2	River	Poblacion	Laurel	Tertiary		3.92	
121.412911752824	13.7758929353924	Region Ⅳ-A	Batangas	Batangas 4th District Engineering Office	Sn Juan-Laiya Rd	B00070LZ	Naubay Br.	7	reinforced_concrete	Year Known	1998	15.8	20			0.85	0.85	2	River	Puting Buhangin	San Juan	Tertiary		2.85	
120.828656572079	13.9234461903668	Region Ⅳ-A	Batangas	Batangas 1st District Engineering Office	Palico-Balayan-Batangas Rd	B00006LZ	Kasuyan Br.	76	reinforced_concrete	Post 1970	1937	9.88	15			1	1	2	River	Lumbang Calzada	Calaca	Secondary	436	9.7	6.7
121.073725156253	13.7202618241803	Region Ⅳ-A	Batangas	Batangas 2nd District Engineering Office	Batangas-Tabangao-Lobo Rd	B03038LZ	Ambulong Br.	56	reinforced_concrete	Year Known	1981	9.5	20			1.05	1.05	2	River	Ambulong	Batangas City	Secondary	439	7.82	6
121.393432817868	13.6746993895369	Region Ⅳ-A	Batangas	Batangas 4th District Engineering Office	Sn Juan-Laiya Rd	B03115LZ	Laiya Br.	65	reinforced_concrete	Year Known	1984	9.53	15			0.78	0.78	2	River	Laiya Aplaya	San Juan	Tertiary		4.54	4.36
120.706355359366	14.0597405329471	Region Ⅳ-A	Batangas	Batangas 1st District Engineering Office	Tagaytay-Nasugbu Rd	B04718LZ	Bayudbud Br. 2	52	reinforced_concrete	Post 1970	2012	10.45	15			1.1	1.1	2	River	Sabang	Tuy	Secondary	407	16.8	16.7
120.928085069942	13.894154805761	Region Ⅳ-A	Batangas	Batangas 1st District Engineering Office	Lemery-Taal Diversion Rd	B04713LZ	Seiran Br.	30	reinforced_concrete	Post 1970	1982	17.77	15			1.1	1.1	4	Open Ground	Halang;Latag	Taal	Tertiary		8.55	9.45
121.056897723129	13.8991401879687	Region Ⅳ-A	Batangas	Batangas 3rd District Engineering Office	Banay-Banay-Mojon-Cuenca Rd	B03075LZ	Rancho Br.	57	steel	Year Known	2008	8.8	20	5.35		0.73	0.73	2	River	Labac	Cuenca	Secondary	433	24.32	
121.131272646109	13.8187874032144	Region Ⅳ-A	Batangas	Batangas 4th District Engineering Office	Batangas-Quezon Rd	B04537LZ	Ibaan Br.	8	reinforced_concrete	Year Known	1968	15.3	15			0.78	0.78	4	River	Poblacion	Ibaan	Secondary	435	9.6	
120.792856308154	13.940242103744	Region Ⅳ-A	Batangas	Batangas 1st District Engineering Office	Palico-Balayan-Batangas Rd	B00002LZ	Cawong Br.	25	reinforced_concrete	Post 1970	1982	11.15	15			1.55	1.6	2	River	Pantay	Calaca	Secondary	436	9.1	8.1
121.21338248555	13.6927171259521	Region Ⅳ-A	Batangas	Batangas 2nd District Engineering Office	Batangas-Lobo Rd	B03034LZ	Biga Br. 2 (Steel Type)	54	steel	Year Known	1998	4.3	15					1	River	Malapad Na Parang	Lobo	Secondary	438	38.3	
